+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                       design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_hsync_mux_reg/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[4]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[3]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[2]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[1]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[6]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[7]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[5]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[0]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                         design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[8]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                        design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_reg[12]/R|
